,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,lat,long
0,313000.0,3,1.5,1340,7912,1,0,0,3,1340,0,1955,1,18810 Densmore Ave N,Shoreline,WA 98133,USA,47.76563783673469,-122.33902936734694
2,342000.0,3,2.0,1930,11947,1,0,0,4,1930,0,1966,0,26206-26214 143rd Ave SE,Kent,WA 98042,USA,0.0,0.0
3,420000.0,3,2.25,2000,8030,1,0,0,4,1000,1000,1963,0,857 170th Pl NE,Bellevue,WA 98008,USA,47.61777031318117,-122.11461289268907
4,550000.0,4,2.5,1940,10500,1,0,0,4,1140,800,1976,1,9105 170th Ave NE,Redmond,WA 98052,USA,45.70108743878578,-93.81316855816318
5,490000.0,2,1.0,880,6380,1,0,0,3,880,0,1938,1,522 NE 88th St,Seattle,WA 98115,USA,47.69230096644295,-122.32266510067114
6,335000.0,2,2.0,1350,2560,1,0,0,3,1350,0,1976,0,2616 174th Ave NE,Redmond,WA 98052,USA,45.28589779573399,-93.20356813632694
7,482000.0,4,2.5,2710,35868,2,0,0,3,2710,0,1989,0,23762 SE 253rd Pl,Maple Valley,WA 98038,USA,47.37504085,-122.02201422795294
8,452500.0,3,2.5,2430,88426,1,0,0,4,1570,860,1985,0,46611-46625 SE 129th St,North Bend,WA 98045,USA,47.4821864,-121.71819839225836
9,640000.0,4,2.0,1520,6200,1,0,0,3,1520,0,1945,1,6811 55th Ave NE,Seattle,WA 98115,USA,47.677933833333334,-122.2690416111111
10,463000.0,3,1.75,1710,7320,1,0,0,3,1710,0,1948,1,Burke-Gilman Trail,Lake Forest Park,WA 98155,USA,47.661399,-122.3690799
12,588500.0,3,1.75,2330,14892,1,0,0,3,1970,360,1980,0,1833 220th Pl NE,Sammamish,WA 98074,USA,47.62605734693878,-122.04576671428572
13,365000.0,3,1.0,1090,6435,1,0,0,4,1090,0,1955,1,2504 SW Portland Ct,Seattle,WA 98106,USA,47.5333001632653,-122.36531763265306
15,242500.0,3,1.5,1200,9720,1,0,0,4,1200,0,1965,0,14034 SE 201st St,Kent,WA 98042,USA,47.422514,-122.153114
16,419000.0,3,1.5,1570,6700,1,0,0,4,1570,0,1956,0,15424 SE 9th St,Bellevue,WA 98007,USA,47.602009228169386,-122.13441737370682
17,367500.0,4,3.0,3110,7231,2,0,0,3,3110,0,1997,0,11224 SE 306th Pl,Auburn,WA 98092,USA,47.32768402997599,-122.19167882499869
18,257950.0,3,1.75,1370,5858,1,0,0,3,1370,0,1987,1,1605 S 245th Pl,Des Moines,WA 98198,USA,47.38165222273602,-122.31245020276727
19,275000.0,3,1.5,1180,10277,1,0,0,3,1180,0,1983,1,12425 415th Ave SE,North Bend,WA 98045,USA,47.48785539860872,-121.78705051663229
20,750000.0,3,1.75,2240,10578,2,0,0,5,1550,690,1923,0,3225 NE 92nd St,Seattle,WA 98115,USA,47.6955787114094,-122.29294748322147
21,435000.0,4,1.0,1450,8800,1,0,0,4,1450,0,1954,1,3922 154th Ave SE,Bellevue,WA 98006,USA,47.575332080997256,-122.13556484240515
22,626000.0,3,2.25,1750,1572,3,0,0,3,1470,280,2005,0,3140 Franklin Ave E,Seattle,WA 98102,USA,47.6498218,-122.3208976
23,612500.0,4,2.5,2730,12261,2,0,0,3,2730,0,1991,0,10212 NE 156th Pl,Bothell,WA 98011,USA,47.7417518,-122.20505435295945
24,495000.0,4,1.75,1600,6380,1,0,0,3,1130,470,1959,1,2021 NE 100th St,Seattle,WA 98125,USA,47.7011,-122.30605589820817
25,285000.0,3,2.5,2090,10834,1,0,0,4,1360,730,1987,0,27736 23rd Avenue South,Federal Way,WA 98003,USA,47.35317566994888,-122.30302614845031
26,615000.0,3,1.75,2360,7291,1,0,0,4,1360,1000,1948,0,8436-8438 41st Ave SW,Seattle,WA 98136,USA,46.318629,-101.27818
27,698000.0,4,2.25,2200,11250,1,0,0,5,1300,900,1920,0,1036 4th St,Kirkland,WA 98033,USA,47.68444,-122.20122
28,675000.0,5,2.5,2820,67518,2,0,0,3,2820,0,1979,1,23525 SE 32nd Way,Issaquah,WA 98029,USA,47.57954167421748,-122.02597992788002
29,790000.0,3,2.5,2600,4750,1,0,0,4,1700,900,1951,1,3314 NW 75th St,Seattle,WA 98117,USA,47.68320428571429,-122.39963842857144
30,382500.0,4,1.75,1560,8700,1,0,0,4,1560,0,1967,0,14104 119th Ave NE,Kirkland,WA 98034,USA,47.727332491069774,-122.18148446747507
31,499950.0,4,2.5,2860,3345,2,0,0,3,2190,670,2004,1,20120 137th Ave NE,Woodinville,WA 98072,USA,47.77420257106608,-122.15763806211697
32,650000.0,4,2.0,1820,5000,1,0,1,3,1640,180,1945,1,7201-7399 55th Ave NE,Seattle,WA 98115,USA,0.0,0.0
33,625000.0,4,2.5,2820,8408,2,0,0,3,2820,0,2014,0,17052 4th Ave NE,Shoreline,WA 98155,USA,47.75269375879397,-122.32523005527638
34,400000.0,4,2.5,3630,42884,1,0,0,3,2300,1330,1979,1,5172-5198 Heather Ave SE,Auburn,WA 98092,USA,0.0,0.0
35,604000.0,3,2.5,3240,33151,2,0,2,3,3240,0,1995,0,30822 36th Ct SW,Federal Way,WA 98023,USA,47.32511199051943,-122.37817911476473
